LAT_1KM_GRP,LON_1KM_GRP,AREA_NAME,TOTAL_EVENTS
34.16,-118.52,WEST VALLEY,614
33.97,-118.32,77TH STREET,614
33.95,-118.37,PACIFIC,614
34.12,-118.24,NORTHEAST,611
34.18,-118.43,VAN NUYS,610
34.3,-118.46,MISSION,610
33.8,-118.3,HARBOR,609
34.07,-118.45,WEST LA,607
34.12,-118.22,NORTHEAST,607
34.07,-118.25,CENTRAL,606
34.16,-118.36,N HOLLYWOOD,605
34.11,-118.3,NORTHEAST,604
34.21,-118.51,WEST VALLEY,604
34.25,-118.28,FOOTHILL,604
34.06,-118.25,RAMPART,603
34.03,-118.39,WEST LA,603
34.23,-118.5,DEVONSHIRE,603
34.08,-118.18,HOLLENBECK,602
34.25,-118.58,DEVONSHIRE,602
34.08,-118.25,NORTHEAST,601
34.06,-118.47,WEST LA,600
33.97,-118.38,PACIFIC,600
34.19,-118.56,WEST VALLEY,599
34.18,-118.36,N HOLLYWOOD,599
34.17,-118.39,N HOLLYWOOD,599
33.99,-118.24,NEWTON,595
33.89,-118.29,SOUTHEAST,594
34.24,-118.55,DEVONSHIRE,592
33.75,-118.28,HARBOR,590
34.06,-118.28,OLYMPIC,589
34.09,-118.19,HOLLENBECK,584
34.16,-118.41,VAN NUYS,584
34.25,-118.54,DEVONSHIRE,584
33.85,-118.3,HARBOR,583
34.05,-118.39,WEST LA,583
34.1,-118.21,NORTHEAST,582
34.16,-118.43,VAN NUYS,581
34.04,-118.24,NEWTON,579
33.98,-118.34,77TH STREET,578
34.06,-118.32,OLYMPIC,576
34.09,-118.18,HOLLENBECK,575
34.24,-118.39,FOOTHILL,573
34.19,-118.49,WEST VALLEY,571
34.1,-118.37,HOLLYWOOD,569
34.24,-118.49,DEVONSHIRE,568
34.1,-118.25,NORTHEAST,562
34.23,-118.51,DEVONSHIRE,561
34.24,-118.43,MISSION,560
34.14,-118.21,NORTHEAST,559
34.14,-118.41,N HOLLYWOOD,559
33.96,-118.45,PACIFIC,557
34.27,-118.51,DEVONSHIRE,556
34.21,-118.42,N HOLLYWOOD,555
34.07,-118.25,NORTHEAST,553
34.25,-118.47,MISSION,553
34.05,-118.32,OLYMPIC,552
33.78,-118.28,HARBOR,549
34.26,-118.48,DEVONSHIRE,549
34.21,-118.4,FOOTHILL,548
34.1,-118.27,NORTHEAST,546
34.27,-118.5,DEVONSHIRE,546
34.21,-118.45,VAN NUYS,545
34.28,-118.4,FOOTHILL,544
34.15,-118.38,N HOLLYWOOD,543
34.0,-118.41,PACIFIC,542
34.23,-118.43,MISSION,542
34.32,-118.43,MISSION,541
34.21,-118.52,WEST VALLEY,539
33.97,-118.43,PACIFIC,537
34.12,-118.32,HOLLYWOOD,536
34.02,-118.44,PACIFIC,536
33.99,-118.43,PACIFIC,535
34.03,-118.44,WEST LA,534
34.03,-118.27,CENTRAL,534
34.15,-118.4,N HOLLYWOOD,533
34.2,-118.5,WEST VALLEY,530
34.29,-118.45,MISSION,530
34.22,-118.54,DEVONSHIRE,529
34.02,-118.43,PACIFIC,528
34.22,-118.52,DEVONSHIRE,528
34.26,-118.3,FOOTHILL,527
